Precio de compra,Precio de venta,Fecha de operacion
37935,38041,2022-04-30 23:38:02.847008,2022-05-01 00:11:22.259709,0.28
38055,37839,2022-05-01 00:17:43.835008,2022-05-01 07:11:21.598848,-0.57
38190,38248,2022-05-01 10:35:32.589075,2022-05-01 10:46:08.615005,0.15
38207,38285,2022-05-01 10:46:49.139052,2022-05-01 10:48:27.158993,0.20
38419,38507,2022-05-01 11:05:02.307094,2022-05-01 11:10:57.808471,0.23
38508,38586,2022-05-01 11:57:54.979007,2022-05-01 12:08:34.622991,0.20
38497,38342,2022-05-01 12:24:06.083061,2022-05-01 13:02:09.805423,-0.40
38098,38198,2022-05-01 16:10:31.003086,2022-05-01 16:13:01.243029,0.26
38416,38140,2022-05-01 17:22:41.927064,2022-05-01 17:34:01.815017,-0.72
38451,38586,2022-05-01 21:00:17.607672,2022-05-01 21:55:19.368456,0.35
38605,38688,2022-05-01 23:20:24.145521,2022-05-01 23:33:46.643530,0.22
38912,38990,2022-05-02 00:16:59.846778,2022-05-02 00:38:27.342996,0.20
Precio de compra,Precio de venta,Fecha de compra,Fecha de venta,Porcentaje de Ganancia/perdida,Volatilidad,Corrector Volatilidad por Stop Loss
38921,39012,2022-05-02 01:59:55.979054,2022-05-02 02:13:54.966009,0.24,0.28751477310080703,0
38967,38776,2022-05-02 02:55:58.339015,2022-05-02 03:37:24.804909,-0.49,0.26352441346061284,0
38580,38308,2022-05-02 08:34:21.970242,2022-05-02 08:36:00.579012,-0.70,0.3527935030743516,0.3
Precio de compra,Precio de venta,Fecha de compra,Fecha de venta,Porcentaje de Ganancia/perdida,Volatilidad,Corrector Volatilidad por Stop Loss
38011,38098,2022-05-03 22:51:02.764634,2022-05-04 00:56:51.560933,0.23,0,0
38325,38406,2022-05-04 02:01:36.697502,2022-05-04 02:08:28.414253,0.21,0,0
38894,39000,2022-05-04 04:04:19.323579,2022-05-04 04:36:49.335074,0.27,0,0
38911,39043,2022-05-04 04:46:31.027020,2022-05-04 05:43:39.803856,0.34,0,0
38890,39041,2022-05-04 06:12:48.891013,2022-05-04 06:27:06.435075,0.39,0,0
38923,38722,2022-05-04 08:31:14.123002,2022-05-04 08:58:42.510012,-0.52,0,0
39038,38822,2022-05-04 12:10:14.133957,2022-05-04 12:48:29.728198,-0.55,0,0.3
39305,39159,2022-05-05 08:31:31.859347,2022-05-05 08:49:38.398625,-0.37,0,0.3
Precio de compra,Precio de venta,Fecha de compra,Fecha de venta,Porcentaje de Ganancia/perdida,Volatilidad,Corrector Volatilidad por Stop Loss
36395,36228,2022-05-06 02:29:15.651013,2022-05-06 03:35:58.259073,-0.46,0.21,0
35499,35766,2022-05-06 09:35:59.348765,2022-05-06 09:41:13.825329,0.75,1.14,0.3
35580,35800,2022-05-06 09:43:26.559097,2022-05-06 10:00:54.655597,0.62,2.35,0
36040,35499,2022-05-06 11:38:54.559627,2022-05-07 17:13:23.579021,-1.50,0.93,0
34695,34534,2022-05-08 08:23:55.811807,2022-05-08 09:18:01.753462,-0.46,0.31,0.3
34270,33916,2022-05-08 16:44:37.646993,2022-05-08 19:52:26.583256,-1.03,0.66,0.3
3 stop_loss,3 stop_loss,3 stop_loss,2022-05-08 23:52:26.583256,3 stop_loss,0.66,0.3
30645,30171,2022-05-09 19:28:28.556224,2022-05-09 19:44:40.847963,-1.55,2.33,0.3
3 stop_loss,3 stop_loss,3 stop_loss,2022-05-09 23:44:40.847963,3 stop_loss,2.33,0.3
31866,32179,2022-05-10 09:34:52.287538,2022-05-10 10:08:00.520725,0.98,1.66,0.3
31474,31760,2022-05-10 14:16:17.942327,2022-05-10 14:44:23.359171,0.91,1.06,0
31390,30918,2022-05-10 15:13:33.379907,2022-05-10 16:51:05.535048,-1.51,0.95,0
31570,31863,2022-05-11 07:05:04.638654,2022-05-11 07:14:07.171047,0.93,1.85,0.3
31636,31161,2022-05-11 07:25:35.603012,2022-05-11 08:30:40.061412,-1.50,1.85,0
29762,29955,2022-05-11 14:47:53.223557,2022-05-11 15:12:09.689780,0.65,3.09,0.3
28506,28683,2022-05-11 18:38:22.879304,2022-05-11 18:43:08.010846,0.62,4.22,0
29392,28916,2022-05-11 21:27:19.654514,2022-05-11 22:00:59.493388,-1.62,1.83,0
27314,27568,2022-05-12 06:13:29.724314,2022-05-12 06:21:20.814777,0.93,2.54,0.3
28015,28319,2022-05-12 08:03:49.204285,2022-05-12 08:38:25.075087,1.09,2.13,0
28255,27783,2022-05-12 09:40:11.064517,2022-05-12 09:40:16.888040,-1.67,3.35,0
30493,30778,2022-05-13 01:54:21.844781,2022-05-13 08:33:15.988747,0.93,1.08,0.3
30524,30719,2022-05-13 09:13:09.379046,2022-05-13 09:31:18.747017,0.64,0.72,0
30297,30574,2022-05-13 09:34:45.665604,2022-05-13 09:40:52.538438,0.92,1.10,0
29618,29825,2022-05-13 13:48:00.363056,2022-05-13 14:34:08.546995,0.70,1.82,0
29894,29590,2022-05-13 18:20:33.098053,2022-05-13 19:06:57.115038,-1.02,0.74,0
29268,29447,2022-05-14 00:35:43.273235,2022-05-14 01:48:06.807060,0.61,0.70,0.3
29370,29231,2022-05-14 05:33:44.619189,2022-05-14 06:53:57.112524,-0.47,0.34,0
29326,29527,2022-05-14 15:20:44.526423,2022-05-14 16:19:35.910678,0.69,0.71,0.3
29353,29538,2022-05-14 16:39:22.334185,2022-05-14 17:30:12.148671,0.63,0.73,0
29540,29733,2022-05-14 18:26:49.914454,2022-05-14 18:45:06.791023,0.65,0.62,0
29977,29502,2022-05-14 19:09:48.747816,2022-05-14 23:31:06.899385,-1.58,1.92,0
29513,29638,2022-05-15 04:49:08.687750,2022-05-15 05:23:45.395051,0.42,0.46,0.3
30101,30378,2022-05-15 09:28:06.827245,2022-05-15 15:46:41.455087,0.92,0.89,0
31128,30814,2022-05-15 20:02:15.115435,2022-05-15 21:30:47.091942,-1.01,0.67,0
29907,29426,2022-05-16 02:07:28.412486,2022-05-16 02:26:33.650999,-1.61,1.03,0.3
29786,29331,2022-05-16 08:42:35.169365,2022-05-16 11:37:36.895002,-1.53,1.86,0.3
3 stop_loss,3 stop_loss,3 stop_loss,2022-05-16 15:37:36.895002,3 stop_loss,1.86,0.3
29801,29986,2022-05-16 19:45:47.318961,2022-05-16 20:18:32.864693,0.62,0.75,0.3
29970,30155,2022-05-16 21:09:16.204637,2022-05-16 23:12:24.539057,0.62,0.75,0
30313,30449,2022-05-17 02:15:01.683729,2022-05-17 02:48:40.872482,0.45,0.46,0
30405,30507,2022-05-17 03:09:40.364550,2022-05-17 04:22:33.903668,0.34,0.43,0
